sampleID,dateTime,sourceCode,latitude,longitude,altitude,speed,heading,linkPVID,direction,distFromRef,distFromLink,slope
3496,6/12/2009 6:16,13,51.49693293,9.38788075,198.0,0.0,192.0,567329767,F,77.67736470203057,0.02942520000257506,0.0
3496,6/12/2009 6:16,13,51.49693293,9.387880918,198.0,0.0,230.0,567329767,F,77.68920403447682,0.029472240002488607,0.0
3496,6/12/2009 6:16,13,51.49693066,9.387878152,197.0,0.0,235.0,567329767,T,77.44761940197787,0.030876960005516225,-0.027415562249676166
3496,6/12/2009 6:16,13,51.49696,9.387928694,196.0,7.0,43.0,567329767,F,81.61249162515288,0.016862320000814716,-0.027415484263557242
3496,6/12/2009 6:16,13,51.49711582,9.388020476,197.0,18.0,359.0,567329767,F,90.47713965401965,0.1075879369395439,0.02741524559628989
3496,6/12/2009 6:16,13,51.49726175,9.387757033,202.0,15.0,270.0,567329767,T,75.71745001465725,0.32088275999779925,0.027415482547125013
3496,6/12/2009 6:16,13,51.49717533,9.387423517,200.0,15.0,231.0,567329767,T,50.437502024186855,0.3313040399964444,-0.027415349487293787
3496,6/12/2009 6:16,13,51.49694986,9.387356462,199.0,19.0,176.0,567329767,T,41.07756728507741,0.13362824000024262,-0.027415122644682204
3496,6/12/2009 6:17,13,51.49677023,9.38704147,198.0,24.0,252.0,567329767,F,43.972147412132266,0.02016661233498293,-0.02741505152670519
3496,6/12/2009 6:17,13,51.49668415,9.386545597,199.0,24.0,254.0,567329767,F,79.34459643950478,0.031079703580621253,0.02741494563050338
3496,6/12/2009 6:17,13,51.49669362,9.386180229,200.0,6.0,251.0,62007637,U,13.009893179763127,0.0030841802978500126,U
3496,6/12/2009 6:17,13,51.49663554,9.386133291,199.0,7.0,248.0,62007637,T,9.572167797458983,0.06402384425853853,-0.02741544156573361
3496,6/12/2009 6:17,13,51.49648122,9.385797177,201.0,22.0,239.0,62007648,U,65.09250331163506,0.0035864760243543327,U
3496,6/12/2009 6:17,13,51.49638232,9.385239277,205.0,26.0,247.0,62007648,T,24.488858361896177,0.019581036651075814,0.027415392516351465
3496,6/12/2009 6:17,13,51.49632054,9.384923279,208.0,13.0,305.0,78670326,U,2.290199777317162,0.02522529608475168,U
3496,6/12/2009 6:17,13,51.49650763,9.384865025,207.0,26.0,345.0,78670326,F,22.581923045821387,0.053624131861108724,-0.02741519782853949
3496,6/12/2009 6:17,13,51.49692438,9.384653131,208.0,31.0,343.0,78670326,F,71.50045002130733,0.04283261823739411,0.027414719195421253
3496,6/12/2009 6:17,13,51.49726753,9.38445163,211.0,27.0,340.0,78670326,F,113.0032545443267,0.009577522476052086,0.027415331360041255
